0:0:0:0:0:0:0:1 - - [04/Apr/2024:11:40:38 +0530] "GET /tbis/api/users/logout HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:19 +0530] "POST /tbis/api/users/login HTTP/1.1" 200 105759
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:20 +0530] "GET /tbis/api/ajax?ic=0&id=usermenu&ro=true HTTP/1.1" 200 5267
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:25 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:25 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:25 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:29 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:29 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:29 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:29 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:31 +0530] "GET /tbis/api/report/metadata?id=87 HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:31 +0530] "GET /tbis/api/report/data?id=87&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=supplydate&sord=desc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:34 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:34 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:34 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:39 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:39 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:39 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:39 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:43 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:58 +0530] "GET /tbis/api/report/metadata?id=63 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:58 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:38:58 +0530] "GET /tbis/api/report/data?id=63&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:01 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:01 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:01 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:01 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=warehouse HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=85 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/metadata?id=86 HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=85&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:39:07 +0530] "GET /tbis/api/report/data?id=86&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=picklistid&sord=asc&sord=desc&_search=false HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=employee HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [04/Apr/2024:18:44:38 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 274
