192.168.1.4 - - [19/Jun/2024:10:54:04 +0530] "POST /tbis/api/users/login HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:01 +0530] "GET /tbis/api/users/logout HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "POST /tbis/api/users/login HTTP/1.1" 200 6701
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=loginlocations HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=19-06-2024&todate=19-06-2024 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ic=0&id=usermenu&ro=true HTTP/1.1" 200 7075
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=picklistdashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=asndatadashboard HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:08 +0530] "GET /tbis/api/dashboard/tbisdash?fromdate=19-06-2024&todate=19-06-2024 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=customer HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=unloaddoc HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=packing HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=deliverylocation HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=docks HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=plants HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/report/metadata?id=42 HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:08:22 +0530] "GET /tbis/api/report/data?id=42&branchcode=1&nd=1684952071224&rows=20&page=1&sidx=partno&sord=asc&sord=desc&_search=false HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:52 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=sublocation HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:52 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=partmaster HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:52 +0530] "GET /tbis/api/ajax?ro=true&ic=0&id=location HTTP/1.1" 200 54
