                            SUZUKI MOTOR GUJARAT PRIVATE LIMITED
--------------------------------------------------------------------------------------------
                            DATE:3/29/2024 11:32 PM
--------------------------------------------------------------------------------------------
VCODE    SLY DATE     TIME    ICODE            QTY  UN LOC   US LOC    KANBAN NO
--------------------------------------------------------------------------------------------
D290     30-MAR-2024  08:30  02162M0616E       2000   CA-14   AC3     30Q429110530AC3
D290     30-MAR-2024  10:45  04211M13189       1000   PE-10   EP4     30Q428988078EP4
D290     30-MAR-2024  10:45  04211M13189       1000   PE-01   EP1     30Q429020468EP1
D290     30-MAR-2024  10:45  04211M13189       1000   PE-07   EP3     30Q429079098EP3
D290     30-MAR-2024  07:30  09103M10055       350    BA-04   AB2     30Q429003458AB2
D290     30-MAR-2024  07:30  09103M10055       700    BA-04   AB1     30Q429162092AB1
D290     30-MAR-2024  08:30  09103M10055       700    CA-06   AC3     30Q429110548AC3
D290     30-MAR-2024  10:45  09103M10055       700    AA-04   AA3     30Q429045827AA3
D290     30-MAR-2024  07:30  09119M08118       2000   BA-17   AB2     30Q429003466AB2
D290     30-MAR-2024  07:30  09119M08118       5000   BA-17   AB1     30Q429162106AB1
D290     30-MAR-2024  08:30  09119M08118       4000   CA-15   AC3     30Q429110556AC3
D290     30-MAR-2024  08:30  09119M08118       2000   CA-17   AC1     30Q429142911AC1
D290     30-MAR-2024  10:45  09119M08118       6000   AA-17   AA3     30Q429045835AA3
D290     30-MAR-2024  07:30  09159M10116       1500   BA-04   AB1     30Q428990994AB1
D290     30-MAR-2024  08:30  09159M10116       1500   CA-06   AC1     30Q429142920AC1
D290     30-MAR-2024  10:45  09159M10116       1500   AA-04   AA3     30Q429045843AA3
D290     30-MAR-2024  08:30  09159M11007       2000   CA-02   AC3     30Q429110564AC3
D290     30-MAR-2024  10:45  09159M11007       3000   AA-24   AA3     30Q429045851AA3
D290     30-MAR-2024  10:45  11178M69L00       9000   PE-10   EP4     30Q428988086EP4
D290     30-MAR-2024  10:45  11178M69L00       11000  PE-02   EP1     30Q429020476EP1
D290     30-MAR-2024  10:45  11178M69L00       9000   PE-06   EP3     30Q429079101EP3
D290     30-MAR-2024  08:30  11519M67L00       2000   PT-01   TP1     30Q429056535TP1
D290     30-MAR-2024  08:30  11519M67L00       2000   PT-01   TP7     30Q429090830TP7
D290     30-MAR-2024  08:30  11519M67L00       1000   PT-04   TP8     30Q429114187TP8
D290     30-MAR-2024  10:45  11519M67L00       1000   PE-10   EP4     30Q428988094EP4
D290     30-MAR-2024  10:45  11519M67L00       1000   PE-02   EP1     30Q429020484EP1
D290     30-MAR-2024  10:45  11519M67L00       1000   PE-06   EP3     30Q429079110EP3
D290     30-MAR-2024  07:30  41821M55R00       1200   BA-04   AB1     30Q428991001AB1
D290     30-MAR-2024  07:30  41821M55R00       300    BA-04   AB2     30Q429003474AB2
D290     30-MAR-2024  08:30  41821M55R00       1050   CA-06   AC3     30Q429110572AC3
D290     30-MAR-2024  08:30  41821M55R00       450    CA-06   AC1     30Q429142938AC1
D290     30-MAR-2024  10:45  41821M55R00       1500   AA-04   AA3     30Q429045860AA3
D290     30-MAR-2024  07:30  43413M68P00       5100   BA-20   AB1     30Q428991010AB1
D290     30-MAR-2024  07:30  43413M68P00       1200   BA-20   AB2     30Q429003482AB2
D290     30-MAR-2024  08:30  43413M68P00       4500   CA-21   AC3     30Q429110580AC3
D290     30-MAR-2024  08:30  43413M68P00       1800   CA-21   AC1     30Q429142946AC1
D290     30-MAR-2024  10:45  43413M68P00       6000   AA-21   AA3     30Q429045878AA3
D290     30-MAR-2024  07:30  43458M68P00       3800   BA-05   AB1     30Q428991028AB1
D290     30-MAR-2024  07:30  43458M68P00       1000   BA-05   AB2     30Q429003490AB2
D290     30-MAR-2024  08:30  43458M68P00       3400   CA-07   AC3     30Q429110599AC3
D290     30-MAR-2024  08:30  43458M68P00       1200   CA-07   AC1     30Q429142954AC1
D290     30-MAR-2024  10:45  43458M68P00       4600   AA-05   AA3     30Q429045886AA3
D290     30-MAR-2024  07:30  89199M68P00       2400   BA-04   AB1     30Q428991036AB1
D290     30-MAR-2024  07:30  89199M68P00       600    BA-04   AB2     30Q429003504AB2
D290     30-MAR-2024  08:30  89199M68P00       2100   CA-21   AC3     30Q429110602AC3
D290     30-MAR-2024  08:30  89199M68P00       900    CA-21   AC1     30Q429142962AC1
D290     30-MAR-2024  10:45  89199M68P00       3000   AA-21   AA3     30Q429045894AA3
