                            SUZUKI MOTOR GUJARAT PRIVATE LIMITED
--------------------------------------------------------------------------------------------
                            DATE:2/5/2024 9:57 AM
--------------------------------------------------------------------------------------------
VCODE    SLY DATE     TIME    ICODE            QTY  UN LOC   US LOC    KANBAN NO
--------------------------------------------------------------------------------------------
C336     06-FEB-2024  07:30  34100M54T50       18     CA-02   AC1     06P406621066AC1
C336     06-FEB-2024  09:45  34100M54T50       9      CA-02   AC1     06P406621074AC1
C336     06-FEB-2024  12:45  34100M54T50       18     CA-02   AC1     06P406621082AC1
C336     06-FEB-2024  15:45  34100M54T50       12     CA-02   AC1     06P406621090AC1
C336     06-FEB-2024  18:45  34100M54T50       21     CA-02   AC1     06P406621104AC1
C336     06-FEB-2024  21:45  34100M54T50       9      CA-02   AC1     06P406621112AC1
C336     06-FEB-2024  07:30  34100M54T60       3      CA-02   AC1     06P406621120AC1
C336     06-FEB-2024  07:30  34100M54T80       18     CA-02   AC1     06P406621139AC1
C336     06-FEB-2024  09:45  34100M54T80       9      CA-02   AC1     06P406621147AC1
C336     06-FEB-2024  12:45  34100M54T80       9      CA-02   AC1     06P406621155AC1
C336     06-FEB-2024  15:45  34100M54T80       9      CA-02   AC1     06P406621163AC1
C336     06-FEB-2024  18:45  34100M54T80       12     CA-02   AC1     06P406621171AC1
C336     06-FEB-2024  21:45  34100M54T80       3      CA-02   AC1     06P406621180AC1
C336     06-FEB-2024  07:30  34100M54T90       3      CA-02   AC1     06P406621198AC1
C336     06-FEB-2024  09:45  34100M54T90       3      CA-02   AC1     06P406621201AC1
C336     06-FEB-2024  12:45  34100M54T90       3      CA-02   AC1     06P406621210AC1
C336     06-FEB-2024  07:30  34100M68T60       15     BA-03   AB1     06P406663320AB1
C336     06-FEB-2024  11:45  34100M68T60       15     BA-03   AB1     06P406663338AB1
C336     06-FEB-2024  17:45  34100M68T60       18     BA-03   AB1     06P406663346AB1
C336     06-FEB-2024  07:30  34100M68T70       24     BA-03   AB1     06P406663354AB1
C336     06-FEB-2024  07:30  34100M68T80       15     BA-03   AB1     06P406663362AB1
C336     06-FEB-2024  07:30  34100M68T90       9      BA-03   AB1     06P406663370AB1
C336     06-FEB-2024  11:45  34100M68T90       12     BA-03   AB1     06P406663389AB1
C336     06-FEB-2024  17:45  34100M68T90       12     BA-03   AB1     06P406663397AB1
C336     06-FEB-2024  07:30  34100M68TN0       21     BA-03   AB1     06P406663400AB1
C336     06-FEB-2024  07:30  34100M68TP0       6      BA-03   AB1     06P406663419AB1
C336     06-FEB-2024  11:45  34100M68TP0       3      BA-03   AB1     06P406663427AB1
C336     06-FEB-2024  07:30  34100M71T30       63     BA-03   AB2     06P406542450AB2
C336     06-FEB-2024  11:45  34100M71T30       54     BA-03   AB2     06P406542468AB2
C336     06-FEB-2024  17:45  34100M71T30       63     BA-03   AB2     06P406542476AB2
C336     06-FEB-2024  07:30  34100M71T50       21     CA-02   AC1     06P406621228AC1
C336     06-FEB-2024  09:45  34100M71T50       15     CA-02   AC1     06P406621236AC1
C336     06-FEB-2024  12:45  34100M71T50       6      CA-02   AC1     06P406621244AC1
C336     06-FEB-2024  15:45  34100M71T50       15     CA-02   AC1     06P406621252AC1
C336     06-FEB-2024  18:45  34100M71T50       6      CA-02   AC1     06P406621260AC1
C336     06-FEB-2024  21:45  34100M71T50       3      CA-02   AC1     06P406621279AC1
C336     06-FEB-2024  07:30  34100M74T80       3      CA-02   AC3     06P406657702AC3
C336     06-FEB-2024  09:45  34100M74T80       3      CA-02   AC3     06P406657710AC3
C336     06-FEB-2024  07:30  34100M74TD0       3      CA-02   AC3     06P406657729AC3
C336     06-FEB-2024  07:30  34100M74TE0       3      CA-02   AC3     06P406657737AC3
C336     06-FEB-2024  07:30  34100M74TF0       3      CA-02   AC3     06P406657745AC3
C336     06-FEB-2024  09:45  34100M74TF0       3      CA-02   AC3     06P406657753AC3
C336     06-FEB-2024  07:30  34100M74TG0       3      CA-02   AC3     06P406657761AC3
C336     06-FEB-2024  07:30  34100M74TJ0       3      CA-02   AC3     06P406657770AC3
C336     06-FEB-2024  07:30  34100M74TK0       3      CA-02   AC3     06P406657788AC3
C336     06-FEB-2024  09:45  34100M74TK0       3      CA-02   AC3     06P406657796AC3
C336     06-FEB-2024  07:30  34100M74TL0       3      CA-02   AC3     06P406657800AC3
C336     06-FEB-2024  07:30  34100M74TM0       3      CA-02   AC3     06P406657818AC3
C336     06-FEB-2024  09:45  34100M74TM0       3      CA-02   AC3     06P406657826AC3
C336     06-FEB-2024  12:45  34100M74TM0       3      CA-02   AC3     06P406657834AC3
C336     06-FEB-2024  07:30  34100M74TN0       6      CA-02   AC3     06P406657842AC3
C336     06-FEB-2024  09:45  34100M74TN0       3      CA-02   AC3     06P406657850AC3
C336     06-FEB-2024  12:45  34100M74TN0       3      CA-02   AC3     06P406657869AC3
C336     06-FEB-2024  15:45  34100M74TN0       6      CA-02   AC3     06P406657877AC3
C336     06-FEB-2024  07:30  34100M74TR0       3      CA-02   AC3     06P406657885AC3
C336     06-FEB-2024  09:45  34100M74TR0       3      CA-02   AC3     06P406668682AC3
C336     06-FEB-2024  07:30  34100M74TS0       6      CA-02   AC3     06P406668690AC3
C336     06-FEB-2024  07:30  34101M54T50       3      CA-02   AC1     06P406621287AC1
C336     06-FEB-2024  09:45  34101M54T50       3      CA-02   AC1     06P406621295AC1
C336     06-FEB-2024  07:30  34101M68T40       24     BA-03   AB1     06P406663435AB1
C336     06-FEB-2024  07:30  34101M68T50       3      BA-03   AB1     06P406663443AB1
C336     06-FEB-2024  11:45  34101M68T50       3      BA-03   AB1     06P406663451AB1
C336     06-FEB-2024  07:30  34101M71T20       6      CA-02   AC1     06P406621309AC1
C336     06-FEB-2024  09:45  34101M71T20       9      CA-02   AC1     06P406621317AC1
C336     06-FEB-2024  12:45  34101M71T20       3      CA-02   AC1     06P406621325AC1
C336     06-FEB-2024  15:45  34101M71T20       9      CA-02   AC1     06P406621333AC1
C336     06-FEB-2024  07:30  34101M71T30       3      CA-02   AC1     06P406621341AC1
C336     06-FEB-2024  09:45  34101M71T30       3      CA-02   AC1     06P406621350AC1
C336     06-FEB-2024  12:45  34101M71T30       3      CA-02   AC1     06P406621368AC1
C336     06-FEB-2024  07:30  34101M71TC0       6      BA-03   AB1     06P406663460AB1
C336     06-FEB-2024  11:45  34101M71TC0       6      BA-03   AB1     06P406663478AB1
C336     06-FEB-2024  17:45  34101M71TC0       6      BA-03   AB1     06P406663486AB1
C336     06-FEB-2024  07:30  34101M71TD0       9      BA-03   AB1     06P406663494AB1
C336     06-FEB-2024  07:30  34101M74T20       3      CA-02   AC3     06P406668704AC3
C336     06-FEB-2024  07:30  34101M74T30       3      CA-02   AC3     06P406668712AC3
C336     06-FEB-2024  07:30  34101M74T40       3      CA-02   AC3     06P406668720AC3
C336     06-FEB-2024  07:30  34101M74T50       3      CA-02   AC3     06P406668739AC3
C336     06-FEB-2024  07:30  34101M74T60       3      CA-02   AC3     06P406668747AC3
C336     06-FEB-2024  09:45  34101M74T60       3      CA-02   AC3     06P406668755AC3
C336     06-FEB-2024  07:30  34101M74T80       18     CA-02   AC3     06P406668763AC3
C336     06-FEB-2024  09:45  34101M74T80       12     CA-02   AC3     06P406668771AC3
C336     06-FEB-2024  12:45  34101M74T80       9      CA-02   AC3     06P406668780AC3
C336     06-FEB-2024  15:45  34101M74T80       9      CA-02   AC3     06P406668798AC3
C336     06-FEB-2024  18:45  34101M74T80       12     CA-02   AC3     06P406668801AC3
C336     06-FEB-2024  21:45  34101M74T80       3      CA-02   AC3     06P406668810AC3
C336     06-FEB-2024  07:30  34101M74T90       3      CA-02   AC3     06P406668828AC3
C336     06-FEB-2024  09:45  34101M74T90       3      CA-02   AC3     06P406668836AC3
C336     06-FEB-2024  07:30  34102M54T30       33     CA-02   AC1     06P406621376AC1
C336     06-FEB-2024  09:45  34102M54T30       24     CA-02   AC1     06P406621384AC1
C336     06-FEB-2024  12:45  34102M54T30       21     CA-02   AC1     06P406621392AC1
C336     06-FEB-2024  15:45  34102M54T30       21     CA-02   AC1     06P406621406AC1
C336     06-FEB-2024  18:45  34102M54T30       15     CA-02   AC1     06P406621414AC1
C336     06-FEB-2024  21:45  34102M54T30       12     CA-02   AC1     06P406621422AC1
C336     06-FEB-2024  07:30  34102M55R40       3      CA-02   AC1     06P406621430AC1
C336     06-FEB-2024  07:30  34102M55R40       6      BA-03   AB1     06P406663508AB1
C336     06-FEB-2024  11:45  34102M55R40       9      BA-03   AB1     06P406663516AB1
C336     06-FEB-2024  17:45  34102M55R40       9      BA-03   AB1     06P406663524AB1
C336     06-FEB-2024  07:30  34102M74T00       60     CA-02   AC3     06P406668844AC3
C336     06-FEB-2024  09:45  34102M74T00       39     CA-02   AC3     06P406668852AC3
C336     06-FEB-2024  12:45  34102M74T00       33     CA-02   AC3     06P406668860AC3
C336     06-FEB-2024  15:45  34102M74T00       36     CA-02   AC3     06P406668879AC3
C336     06-FEB-2024  18:45  34102M74T00       27     CA-02   AC3     06P406668887AC3
C336     06-FEB-2024  21:45  34102M74T00       18     CA-02   AC3     06P406668895AC3
C336     06-FEB-2024  07:30  34102M74T10       39     CA-02   AC3     06P406668909AC3
C336     06-FEB-2024  09:45  34102M74T10       21     CA-02   AC3     06P406668917AC3
C336     06-FEB-2024  12:45  34102M74T10       24     CA-02   AC3     06P406668925AC3
C336     06-FEB-2024  15:45  34102M74T10       18     CA-02   AC3     06P406668933AC3
C336     06-FEB-2024  18:45  34102M74T10       24     CA-02   AC3     06P406668941AC3
C336     06-FEB-2024  21:45  34102M74T10       12     CA-02   AC3     06P406668950AC3
C336     06-FEB-2024  07:30  34102M74T20       3      CA-02   AC3     06P406668968AC3
C336     06-FEB-2024  09:45  34102M74T20       6      CA-02   AC3     06P406668976AC3
C336     06-FEB-2024  12:45  34102M74T20       3      CA-02   AC3     06P406668984AC3
C336     06-FEB-2024  07:30  34104M68T00       24     BA-03   AB1     06P406663532AB1
C336     06-FEB-2024  11:45  34104M68T00       21     BA-03   AB1     06P406663540AB1
C336     06-FEB-2024  17:45  34104M68T00       33     BA-03   AB1     06P406663559AB1
C336     06-FEB-2024  07:30  34104M68T10       45     BA-03   AB1     06P406663567AB1
C336     06-FEB-2024  07:30  34104M68T20       84     BA-03   AB1     06P406663575AB1
C336     06-FEB-2024  11:45  34104M68T20       96     BA-03   AB1     06P406663583AB1
C336     06-FEB-2024  17:45  34104M68T20       126    BA-03   AB1     06P406663591AB1
C336     06-FEB-2024  07:30  34200M55R50       3      CA-02   AC1     06P406621449AC1
C336     06-FEB-2024  07:30  34200M55R50       15     BA-03   AB1     06P406663605AB1
C336     06-FEB-2024  09:45  34200M55R50       3      CA-02   AC1     06P406621457AC1
C336     06-FEB-2024  11:45  34200M55R50       12     BA-03   AB1     06P406663613AB1
C336     06-FEB-2024  12:45  34200M55R50       3      CA-02   AC1     06P406621465AC1
C336     06-FEB-2024  17:45  34200M55R50       18     BA-03   AB1     06P406663621AB1
C336     06-FEB-2024  07:30  34960M68P00       100    PT-02   TP1     06P406694810TP1
C336     06-FEB-2024  07:30  34960M68P00       100    PT-01   TP7     06P406701639TP7
C336     06-FEB-2024  07:30  34960M68P00       200    PT-04   TP8     06P406706053TP8
C336     06-FEB-2024  07:30  37160M55R00       60     CA-04   AC1     06P406621473AC1
C336     06-FEB-2024  18:45  37160M55R00       60     CA-04   AC1     06P406621481AC1
C336     06-FEB-2024  13:45  37160M55T00       60     AA-03   AA3     06P406614094AA3
C336     06-FEB-2024  06:30  38910M54T40       40     BA-07   AB2     06P406542484AB2
C336     06-FEB-2024  07:29  38910M54T40       80     CA-22   AC1     06P406621490AC1
C336     06-FEB-2024  07:30  38910M54T40       180    BA-07   AB1     06P406663630AB1
C336     06-FEB-2024  09:45  38910M54T40       60     CA-22   AC1     06P406621503AC1
C336     06-FEB-2024  10:45  38910M54T40       40     BA-07   AB2     06P406542492AB2
C336     06-FEB-2024  11:45  38910M54T40       240    BA-07   AB1     06P406663648AB1
C336     06-FEB-2024  12:45  38910M54T40       80     CA-22   AC1     06P406621511AC1
C336     06-FEB-2024  14:45  38910M54T40       40     BA-07   AB2     06P406542506AB2
C336     06-FEB-2024  15:45  38910M54T40       60     CA-22   AC1     06P406621520AC1
C336     06-FEB-2024  17:45  38910M54T40       280    BA-07   AB1     06P406663656AB1
C336     06-FEB-2024  18:45  38910M54T40       80     CA-22   AC1     06P406621538AC1
C336     06-FEB-2024  19:45  38910M54T40       60     BA-07   AB2     06P406542514AB2
C336     06-FEB-2024  21:45  38910M54T40       40     CA-22   AC1     06P406621546AC1
C336     06-FEB-2024  06:30  38930M55R00       280    BA-24   AB2     06P406542522AB2
C336     06-FEB-2024  07:30  38930M55R00       280    CA-02   AC1     06P406621554AC1
C336     06-FEB-2024  11:45  38930M55R00       280    BA-24   AB1     06P406663664AB1
C336     06-FEB-2024  17:45  38930M55R00       280    BA-24   AB1     06P406663672AB1
C336     06-FEB-2024  07:30  38930M55R10       280    CA-02   AC1     06P406621562AC1
C336     06-FEB-2024  15:45  56111M75F00       500    CA-01   AC1     06P406621570AC1
C336     06-FEB-2024  17:45  56111M75F00       500    BA-25   AB1     06P406663680AB1
C336     06-FEB-2024  07:30  56120M54TA1       16     BA-25   AB1     06P406663699AB1
C336     06-FEB-2024  11:45  56120M54TA1       16     BA-25   AB1     06P406663702AB1
C336     06-FEB-2024  17:45  56120M54TA1       24     BA-25   AB1     06P406663710AB1
C336     06-FEB-2024  07:30  56120M54TB1       16     CA-01   AC1     06P406621589AC1
