                            SUZUKI MOTOR GUJARAT PRIVATE LIMITED
--------------------------------------------------------------------------------------------
                            DATE:2/5/2024 9:59 AM
--------------------------------------------------------------------------------------------
VCODE    SLY DATE     TIME    ICODE            QTY  UN LOC   US LOC    KANBAN NO
--------------------------------------------------------------------------------------------
E305     06-FEB-2024  06:30  22011M66R02       12     PE-09   EP4     06P406683371EP4
E305     06-FEB-2024  06:30  22011M66R02       16     PE-02   EP1     06P406684572EP1
E305     06-FEB-2024  07:30  22011M66R02       24     PE-09   EP4     06P406683380EP4
E305     06-FEB-2024  07:30  22011M66R02       36     PE-02   EP1     06P406684580EP1
E305     06-FEB-2024  09:45  22011M66R02       20     PE-09   EP4     06P406683398EP4
E305     06-FEB-2024  09:45  22011M66R02       36     PE-02   EP1     06P406684599EP1
E305     06-FEB-2024  11:45  22011M66R02       20     PE-09   EP4     06P406683401EP4
E305     06-FEB-2024  11:45  22011M66R02       32     PE-02   EP1     06P406684602EP1
E305     06-FEB-2024  13:45  22011M66R02       16     PE-09   EP4     06P406683410EP4
E305     06-FEB-2024  13:45  22011M66R02       32     PE-02   EP1     06P406684610EP1
E305     06-FEB-2024  15:45  22011M66R02       20     PE-09   EP4     06P406683428EP4
E305     06-FEB-2024  15:45  22011M66R02       32     PE-02   EP1     06P406684629EP1
E305     06-FEB-2024  17:45  22011M66R02       8      PE-09   EP4     06P406683436EP4
E305     06-FEB-2024  17:45  22011M66R02       32     PE-02   EP1     06P406684637EP1
E305     06-FEB-2024  19:45  22011M66R02       28     PE-02   EP1     06P406684645EP1
E305     06-FEB-2024  21:45  22011M66R02       28     PE-02   EP1     06P406684653EP1
E305     06-FEB-2024  06:30  22011M66R22       20     PE-06   EP3     06P406700950EP3
E305     06-FEB-2024  07:30  22011M66R22       24     PE-06   EP3     06P406700969EP3
E305     06-FEB-2024  09:45  22011M66R22       28     PE-06   EP3     06P406700977EP3
E305     06-FEB-2024  11:45  22011M66R22       24     PE-06   EP3     06P406700985EP3
E305     06-FEB-2024  13:45  22011M66R22       24     PE-06   EP3     06P406700993EP3
E305     06-FEB-2024  15:45  22011M66R22       24     PE-06   EP3     06P406701000EP3
E305     06-FEB-2024  17:45  22011M66R22       20     PE-06   EP3     06P406701019EP3
E305     06-FEB-2024  19:45  22011M66R22       24     PE-06   EP3     06P406701027EP3
E305     06-FEB-2024  21:45  22011M66R22       16     PE-06   EP3     06P406701035EP3
E305     06-FEB-2024  06:29  22011M66R42       12     PE-09   EP4     06P406683444EP4
E305     06-FEB-2024  06:30  22011M66R42       8      PE-02   EP1     06P406684661EP1
E305     06-FEB-2024  06:30  22011M66R42       52     PE-06   EP3     06P406701043EP3
E305     06-FEB-2024  07:30  22011M66R42       20     PE-09   EP4     06P406683452EP4
E305     06-FEB-2024  07:30  22011M66R42       4      PE-02   EP1     06P406684670EP1
E305     06-FEB-2024  07:30  22011M66R42       48     PE-06   EP3     06P406701051EP3
E305     06-FEB-2024  09:45  22011M66R42       20     PE-09   EP4     06P406683460EP4
E305     06-FEB-2024  09:45  22011M66R42       8      PE-02   EP1     06P406684688EP1
E305     06-FEB-2024  09:45  22011M66R42       44     PE-06   EP3     06P406701060EP3
E305     06-FEB-2024  11:45  22011M66R42       20     PE-09   EP4     06P406683479EP4
E305     06-FEB-2024  11:45  22011M66R42       8      PE-02   EP1     06P406684696EP1
E305     06-FEB-2024  11:45  22011M66R42       44     PE-06   EP3     06P406701078EP3
E305     06-FEB-2024  13:45  22011M66R42       16     PE-09   EP4     06P406683487EP4
E305     06-FEB-2024  13:45  22011M66R42       4      PE-02   EP1     06P406684700EP1
E305     06-FEB-2024  13:45  22011M66R42       48     PE-06   EP3     06P406701086EP3
E305     06-FEB-2024  15:45  22011M66R42       20     PE-09   EP4     06P406683495EP4
E305     06-FEB-2024  15:45  22011M66R42       8      PE-02   EP1     06P406684718EP1
E305     06-FEB-2024  15:45  22011M66R42       44     PE-06   EP3     06P406701094EP3
E305     06-FEB-2024  17:45  22011M66R42       20     PE-09   EP4     06P406683509EP4
E305     06-FEB-2024  17:45  22011M66R42       4      PE-02   EP1     06P406684726EP1
E305     06-FEB-2024  17:45  22011M66R42       44     PE-06   EP3     06P406701108EP3
E305     06-FEB-2024  19:45  22011M66R42       8      PE-09   EP4     06P406683517EP4
E305     06-FEB-2024  19:45  22011M66R42       8      PE-02   EP1     06P406684734EP1
E305     06-FEB-2024  19:45  22011M66R42       44     PE-06   EP3     06P406701116EP3
E305     06-FEB-2024  21:45  22011M66R42       8      PE-02   EP1     06P406684742EP1
E305     06-FEB-2024  21:45  22011M66R42       32     PE-06   EP3     06P406701124EP3
E305     06-FEB-2024  06:30  22011M74T00       2      PE-09   EP4     06P406683525EP4
E305     06-FEB-2024  07:30  22011M74T00       4      PE-09   EP4     06P406683533EP4
E305     06-FEB-2024  09:45  22011M74T00       2      PE-09   EP4     06P406683541EP4
